17,"공지","안녕하세요 좌가장입니다.","2021-12-13 10:58:33.0","2021-12-13 15:35:52.0","좌가장은 앉을 左 집 家, '집에 앉아서 장보기'라는 아이디어에서 출발한,
농민들이 키운 친환경 식재료를 위탁판매해주는 웹 사이트입니다,

생산자는 직접 재배하여 키워낸 건강한 식재료를 고객님에게,
고객님은 건강히 키워낸 고품질의 식재료를 집에서 합리적인 가격에 만날 수 있습니다.

상호 유기적인 관계속에서 생산농민은 고객님의 건강을 지키고 고객님은 생산농민의 생활을 보장합니다.",138
18,"공지","[공지] 신종금융사기! 스미싱 주의바랍니다!!","2021-12-13 15:10:39.0","2021-12-13 15:13:03.0","스미싱 피해를 예방하는 방법은 무엇일까요?

1. 의심스러운 문자메세지는 받는 즉시 삭제
2. 출처가 확인되지 않은 문자메세지의 인터넷주소(URL) 클릭 금지
(지인에게서 온 문자메세지라도 인터넷 주소가 포함된 경우 클리 전에 전화 확인
3. 확인되지 않은 앱 설치 방지 및 스마트폰 보안 설정 강화
4. 스마트폰용 백신 프로그램 설치 및 주기적 업데이트
5. 쿠폰, 상품권, 무료, 조회, 공짜 등의 스팸문구로 등록해서 차단
",4
19,"이벤트","디즈니 특별관 <엔칸토: 마법의 세계> 예매권 이벤트 당첨자 발표","2021-12-13 15:13:39.0","2021-12-13 15:25:48.0","디즈니 특별관 예매권 이벤트에 참여해 주셔서 감사합니다.


예매권 사용관련 세부적인 내용은 12월 3일 (금) 오후 7시전까지 당첨자분들에게
개별문자로 안내해 드릴 예정이니 문자 확인 부탁드립니다.


*구매 당첨자 확인 (이름 + 휴대폰 맨 뒤 4자리)

김*은	4592
이*희	0045
전*영	8090
고*선	0009
조*선	4600
김*경	9208
박*혜	8599",54
20,"공지","개인정보 처리방침 개정 안내","2021-12-13 15:14:27.0","2021-12-13 15:25:36.0","안녕하세요, 좌가장입니다.

좌가장을 이용해주시는 고객님께 진심으로 감사 드리며, 개인정보 처리에 관한 정책을 담고 있는 개인정보 처리방침이 아래와 같이 일부 변경되어 사전 안내해 드립니다.



1. 적용시기 : 2021년 9월 6일 (월)

2. 주요 변경내용

  개인정보의 위탁 내용 변경

  '1. 수집하는 개인정보 및 이용에 관한 안내'의 일부 내용 변경

  '2. 개인정보의 제공', '3. 개인정보의 위탁'의 일부 내용 변경

※ 상세한 개정내용은 변경된 개인정보 처리방침을 확인하여 주시기 바랍니다.

3. 이의 및 문제 제기

- 개정된 개인정보 처리방침 내용에 대한 이의제기 및 문의사항이 있으신 경우 고객센터(1577-7011)로 접수해 주시면 신속하고 친절하게 안내해 드리겠습니다.

- 개정된 개인정보 처리방침 내용에 동의하지 않는 경우에는 회원탈퇴를 요청하실 수 있습니다.

- 좌가장은 앞으로도 고객 여러분께 더욱 만족스러운 서비스를 제공할 수 있도록 노력하겠습니다.",31
21,"공지","선불충전금 운영 현황 공시","2021-12-13 15:14:58.0","2021-12-13 15:25:26.0","좌가장 주식회사는 이용자로부터 수취한 선불충전금을 안전하게 보호하기 위해 이용자 자금 보호 조치를 이행하고 있습니다. 

 1. 기준 일자: 2021년 6월 30일

2. 선불충전금 규모: 75,455,525,331원 (6월30일 선불충전금 잔액)

3. 신탁 현황

  가. 신탁업자: 주식회사 우리은행 

나. 금액: 35,000,000,000원

4. 지급보증보험 가입 현황

가. 보험회사: 서울보증보험㈜

나. 부보금액: 5,000,000,000원",23
22,"이벤트"," Lucky Box 당첨자 발표","2021-12-13 15:15:47.0","2021-12-13 15:20:53.0","과일 구매고객 대상 

LUCKY BOX 증정 이벤트 당첨자 발표합니다.



당첨자 대상으로 전화 또는 문자로 연락 드렸습니다.

Lucky Box 배송을 위해 고객분들께 한번 더 연락을 드릴 예정이며, 미응답시 당첨은 취소 될 수 있습니다.  



당첨자 (이름 + 휴대폰 맨 뒤 4자리)



이*협	     1881

문*칠	     3631

고*연	     2060

노*주	     0959

김*수	     7741

손*란	     4336

최*	     3002

정*진	     7488",1
23,"이벤트","나의 좌가장이야기 '동영상 & 사진 콘테스트'","2021-12-13 15:20:20.0","2021-12-13 15:20:47.0","좌가장에 얽힌 추억과 번쩍이는 재치에 쏟아지는 현금!

1등 무려 100만원!
도전 안 할 이유 있나요?

필수 해시태그
#좌가장생활 #좌가장은사랑




대      상   :   좌가장 구매 고객이라면 누구나

기      간   :   2021.12.13~2022.01.13

경      품   :   1등 100만원(1명) 2등 50만원(3명) 3등 10만원(5명) 4등 1만원(100명)

응모방법   :   개인 SNS에 필수 해시태그와 함께 동영상 또는 사진 업로드",5
24,"공지","광고 메일 수신동의(변경) 안내","2021-12-13 15:23:47.0","2021-12-13 15:25:17.0","안녕하세요 고객님

좌가장을 사랑해주시는 고객님께 항상 진심으로 감사드립니다.


아래와 같이 좌가장의 ‘광고 메일 수신동의' 관리 기준 변경에 대해 안내 드립니다.


1. 변경 내용

·기존 : 고객님이 보유하고 계신 메일로 광고성 메일 수신동의 관리

·변경 : 고객님이 가장 최근에 직접 설정하신 ‘광고성 메일 수신 동의' 설정에 의해 전체 메일을 통합 관리

* 관리 기준이 변경됨에 따라, 여러 기기를 이용하시는 고객님의 경우 가장 최근에 설정한 메일의 ‘광고성 메일 수신동의 설정 상태'를 기준으로 전체 메일에 해당 설정이 자동 적용됩니다.


2. 적용시기

·2021년 12월 내 순차적으로 전체 회원 적용


3. 광고성 메일 수신동의 변경 방법

 ‘마이페이지’에서 변경하실 수 있습니다.




다른 문의 사항이 있으신 경우 고객센터로 접수해 주시면 신속하고 친절하게 안내드리겠습니다.

좌가장은 앞으로도 고객님께 더욱 만족스러운 서비스를 제공할 수 있도록 노력하겠습니다.

감사합니다.",12
25,"공지","금융감독원 사칭 악성코드 피해 주의 안내","2021-12-13 15:27:18.0","2021-12-13 15:33:11.0","안녕하세요 좌가장 입니다.

 

최근 인터넷 이용 시 좌가장을 비롯한 타 인터넷 사이트에 방문할 경우  
보안인증을 가장한 팝업 악성코드가 지속적으로 유포되어 주의 말씀 드립니다.

 


 

해당 악성코드는 시스템에서 사용하는 hosts 파일을 변조하는 방법으로 피싱 사이트 접속을 유도하는 파밍 악성코드입니다.

이 악성코드에 감염되면, 좌가장 홈페이지 접속 시 아래와 같은 이미지가 노출되거나 접속이 되지 않는 증상이 발생할 수 있습니다.

 

해당 팝업을 확인하셨을 경우, 절대 금융 정보를 입력하지 마시고

만약 금융정보까지 입력하셨다면, 금융정보 유출로 인한 금전적 피해 등의 금융사고로 이어질 수 있으므로,

1) 보호나라를 통해 해킹피해신고(전화:118)를 접수하시고

2) 해당 금융사에 연락하여 ‘비밀번호’와 ‘보안카드’를 변경해 주시기 바랍니다.



※ 예방 및 조치방법 ※

 

예방 방법

1. JRE 최신 업데이트

1) 시작 -> 제어판을 클릭하여 Java 아이콘이 존재하는 경우 클릭합니다.

2) [업데이트] 탭에서 ‘지금 업데이트’를 클릭하여 업데이트를 진행합니다.

 

2. Flash Player 최신 버전으로 설치

    1)  사이트에 접속합니다.

2) Google 툴바 설치 여부 판단 후 ‘지금 다운로드’를 클릭하여 최신 버전의 Flash Player를 설치합니다.

 

3. Adobe Reader 최신 업데이트

1) 시작 -> 모든 프로그램 -> Adobe Reader 아이콘이 존재하는 경우 실행합니다.

2) 프로그램이 실행되면 메뉴의 [도움말] -> ‘업데이트 확인’을 클릭하여 업데이트를 진행합니다.

 

4. 윈도우 OS 업데이트

  1) 시작 -> 모든 프로그램 -> Windows Update를 클릭합니다.

2) OS 정품 사용자이고, 업데이트 항목이 존재하는 경우 ‘빠른 설치’ 항목이 나타납니다.

3) ‘빠른 설치’를 클릭하고 ‘업데이트 설치’를 클릭하면 자동으로 보안패치가 이루어집니다.

 

 

조치 방법

악성코드 치료를 위해 KISA 보호나라() 및 신뢰 할 수 있는

백신 프로그램을 설치하고, 최신 엔진으로 업데이트한 후 검사/치료로 조치하시기 바랍니다",5
26,"공지","택배배송 주문 시간 확대 안내","2021-12-13 15:38:01.0","2021-12-13 15:38:02.0","안녕하세요 고객님 좌가장입니다.

좌가장 택배배송 주문 시간이 확대되어 안내드립니다.
아래 내용 확인하셔서, 즐겁고 편리한 좌가장 이용되시기를 바랍니다.

[택배배송 주문 시간]

기존 : 밤 8시 전 주문 시, 다음날 밤 12시까지 배송
확대 : 밤 10시 전 주문 시, 다음날 밤 12시까지 배송 (2022년 1월 1일 주문건부터 적용)

- 주문마감 이후, 밤 10시~ 11시 까지는 주문이 제한되는 점 이용에 참고 부탁드립니다.

앞으로도 더 나은 서비스를 드리기 위해 최선을 다하겠습니다.

감사합니다.

좌가장 드림",1
